USE_MM,SBWY_ROUT_LN_NM,STTN,JOB_YMD,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE
202408,2호선,왕십리(성동구청),20240903,646.0,0.0,6318.0,772.0,9591.0,8283.0,24417.0,12562.0,42029.0,26220.0,26515.0,20598.0,18309.0,15235.0,18318.0,16508.0,21480.0,17799.0,21805.0,19078.0,21609.0,19913.0,24350.0,21829.0,30299.0,25852.0,33999.0,36180.0,34168.0,56437.0,22294.0,33142.0,20775.0,21576.0,23455.0,18907.0,23398.0,19605.0,12436.0,11997.0,2272.0,4611.0,0.0,2.0,0.0,0.0,0.0,0.0
202408,2호선,뚝섬,20240903,9.0,1.0,3624.0,2788.0,9514.0,19606.0,17776.0,40630.0,24894.0,133586.0,16226.0,92599.0,14842.0,44105.0,17035.0,36013.0,22125.0,36778.0,26484.0,38324.0,31400.0,33778.0,39894.0,34413.0,52822.0,36632.0,82847.0,40248.0,130248.0,49300.0,68634.0,28412.0,49416.0,15575.0,41476.0,12866.0,26138.0,11386.0,9755.0,7297.0,1381.0,2336.0,0.0,42.0,0.0,0.0,0.0,0.0
202408,2호선,성수,20240903,110.0,2.0,5906.0,4069.0,8540.0,33284.0,21440.0,73293.0,27453.0,247584.0,22510.0,150681.0,21605.0,84722.0,25862.0,76944.0,35640.0,79285.0,45686.0,80969.0,57678.0,79487.0,71853.0,75951.0,94817.0,74471.0,148754.0,75847.0,248694.0,77675.0,126193.0,45326.0,96922.0,23290.0,77522.0,17206.0,53581.0,14772.0,21264.0,10852.0,3073.0,5957.0,0.0,921.0,0.0,0.0,0.0,0.0
202408,3호선,옥수,20240903,165.0,2.0,3377.0,1053.0,9211.0,4420.0,21847.0,7552.0,30063.0,12376.0,20895.0,10956.0,14329.0,8099.0,12946.0,9329.0,12736.0,10868.0,12775.0,12035.0,12375.0,12267.0,13202.0,15170.0,14464.0,17661.0,15986.0,24236.0,15885.0,32965.0,11382.0,23715.0,9379.0,16079.0,8403.0,14315.0,5605.0,13477.0,2457.0,6501.0,385.0,1712.0,0.0,0.0,0.0,0.0,0.0,0.0
202408,5호선,행당,20240903,5.0,0.0,3847.0,680.0,11537.0,2411.0,29938.0,4910.0,40492.0,9211.0,20826.0,6743.0,13800.0,5576.0,11847.0,6358.0,12124.0,7250.0,10923.0,8069.0,9444.0,9486.0,10066.0,11280.0,9901.0,14039.0,10295.0,18959.0,9880.0,30507.0,6391.0,19762.0,5039.0,13020.0,3670.0,12068.0,2954.0,10692.0,1096.0,6138.0,184.0,1719.0,0.0,19.0,0.0,0.0,0.0,0.0
202408,5호선,왕십리(성동구청),20240903,45.0,1.0,2120.0,577.0,2213.0,3158.0,5865.0,6211.0,8423.0,17084.0,5133.0,9393.0,4462.0,7486.0,5278.0,7440.0,5868.0,8120.0,6200.0,9041.0,6981.0,8230.0,7891.0,8519.0,9639.0,9553.0,11247.0,11640.0,14467.0,17590.0,8647.0,9619.0,7549.0,5561.0,8037.0,4811.0,6754.0,4217.0,2927.0,2498.0,525.0,1967.0,0.0,341.0,0.0,0.0,0.0,0.0
202408,경원선,옥수,20240903,0.0,0.0,0.0,50.0,11.0,61.0,38.0,22.0,193.0,263.0,28.0,30.0,45.0,176.0,19.0,191.0,14.0,76.0,30.0,21.0,33.0,9.0,25.0,15.0,400.0,66.0,361.0,40.0,55.0,50.0,333.0,8.0,63.0,15.0,46.0,22.0,14.0,5.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202408,경원선,응봉,20240903,133.0,0.0,1339.0,248.0,3121.0,1187.0,6692.0,1426.0,6933.0,2052.0,4610.0,1554.0,3566.0,1209.0,2836.0,1422.0,2514.0,1691.0,2262.0,1867.0,2279.0,2102.0,2446.0,2260.0,2677.0,3383.0,2756.0,4075.0,2459.0,5141.0,1527.0,4774.0,1384.0,2763.0,881.0,2360.0,813.0,2174.0,262.0,1364.0,18.0,425.0,0.0,1.0,0.0,0.0,0.0,0.0
202408,경원선,왕십리(성동구청),20240903,983.0,11.0,5710.0,1538.0,9253.0,6742.0,27571.0,13027.0,40481.0,21793.0,27098.0,17954.0,17644.0,19146.0,18633.0,22849.0,22409.0,24393.0,24713.0,26057.0,25749.0,25910.0,29445.0,29092.0,33912.0,34131.0,36711.0,45927.0,35724.0,65337.0,28156.0,45609.0,27426.0,27735.0,28943.0,22942.0,26497.0,21816.0,11621.0,11067.0,1102.0,4157.0,0.0,0.0,0.0,0.0,0.0,0.0
202408,분당선,서울숲,20240903,162.0,0.0,2891.0,744.0,5130.0,6308.0,12676.0,22934.0,21302.0,46334.0,14528.0,37399.0,8991.0,22185.0,10327.0,18169.0,12501.0,19293.0,14757.0,20244.0,16964.0,19287.0,20059.0,19648.0,27200.0,20131.0,43598.0,23129.0,50940.0,29382.0,32787.0,18918.0,21802.0,9653.0,17605.0,7741.0,10223.0,7555.0,3105.0,3558.0,95.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0
